DATE,AUINSA
2015-01-01,1222.9
2015-02-01,1244.2
2015-03-01,1232.7
2015-04-01,1241.0
2015-05-01,1250.3
2015-06-01,1232.0
2015-07-01,1248.6
2015-08-01,1245.2
2015-09-01,1230.8
2015-10-01,1185.8
2015-11-01,1167.0
2015-12-01,1156.0
2016-01-01,1131.5
2016-02-01,1118.1
2016-03-01,1120.9
2016-04-01,1120.5
2016-05-01,1104.7
2016-06-01,1119.0
2016-07-01,1142.9
2016-08-01,1152.2
2016-09-01,1162.0
2016-10-01,1157.2
2016-11-01,1177.3
2016-12-01,1156.8
2017-01-01,1150.759
2017-02-01,1134.605
2017-03-01,1147.229
2017-04-01,1158.563
2017-05-01,1170.64
2017-06-01,1158.626
2017-07-01,1109.028
2017-08-01,1073.009
2017-09-01,1015.979
2017-10-01,962.04
2017-11-01,941.417
2017-12-01,923.836
2018-01-01,900.427
2018-02-01,890.104
2018-03-01,896.819
2018-04-01,903.842
2018-05-01,906.275
2018-06-01,871.449
2018-07-01,845.873
2018-08-01,810.317
2018-09-01,775.12
2018-10-01,759.945
2018-11-01,756.23
2018-12-01,762.466
2019-01-01,747.351
2019-02-01,729.791
2019-03-01,708.407
2019-04-01,699.645
2019-05-01,691.999
2019-06-01,691.49
2019-07-01,671.197
2019-08-01,651.157
2019-09-01,644.817
2019-10-01,602.564
2019-11-01,569.855
2019-12-01,533.234
2020-01-01,526.061
2020-02-01,514.285
2020-03-01,585.378
2020-04-01,538.499
2020-05-01,457.7
2020-06-01,452.811
2020-07-01,501.435
2020-08-01,513.899
2020-09-01,507.049
2020-10-01,507.181
2020-11-01,487.562
2020-12-01,470.052
2021-01-01,442.445
2021-02-01,403.333
2021-03-01,356.037
2021-04-01,311.247
2021-05-01,251.822
2021-06-01,197.354
2021-07-01,143.643
2021-08-01,126.21
2021-09-01,83.509
2021-10-01,84.638
2021-11-01,73.501
2021-12-01,82.005
2022-01-01,69.863
2022-02-01,64.666
2022-03-01,77.447
2022-04-01,79.712
2022-05-01,81.798
2022-06-01,93.301
2022-07-01,81.899
2022-08-01,106.788
2022-09-01,110.477
2022-10-01,103.625
2022-11-01,104.181
2022-12-01,112.739
2023-01-01,107.428
2023-02-01,106.326
2023-03-01,125.863
2023-04-01,132.466
2023-05-01,149.389
2023-06-01,161.981
