DATE,DAUPSA
2015-01-01,355.9
2015-02-01,320.6
2015-03-01,353.9
2015-04-01,353.9
2015-05-01,374.0
2015-06-01,340.5
2015-07-01,395.1
2015-08-01,348.1
2015-09-01,343.8
2015-10-01,339.4
2015-11-01,318.1
2015-12-01,318.6
2016-01-01,333.9
2016-02-01,330.4
2016-03-01,328.0
2016-04-01,321.6
2016-05-01,311.5
2016-06-01,346.1
2016-07-01,329.5
2016-08-01,332.4
2016-09-01,327.3
2016-10-01,314.4
2016-11-01,312.7
2016-12-01,297.8
2017-01-01,279.3
2017-02-01,278.1
2017-03-01,264.1
2017-04-01,287.9
2017-05-01,283.7
2017-06-01,257.2
2017-07-01,212.1
2017-08-01,252.9
2017-09-01,225.1
2017-10-01,225.8
2017-11-01,222.1
2017-12-01,219.9
2018-01-01,217.8
2018-02-01,246.3
2018-03-01,259.3
2018-04-01,249.4
2018-05-01,233.1
2018-06-01,226.1
2018-07-01,195.0
2018-08-01,212.2
2018-09-01,226.9
2018-10-01,232.9
2018-11-01,233.0
2018-12-01,253.0
2019-01-01,232.5
2019-02-01,219.5
2019-03-01,210.0
2019-04-01,205.0
2019-05-01,213.7
2019-06-01,212.1
2019-07-01,205.1
2019-08-01,212.4
2019-09-01,198.5
2019-10-01,180.7
2019-11-01,212.1
2019-12-01,206.0
2020-01-01,217.3
2020-02-01,222.2
2020-03-01,143.3
2020-04-01,1.7
2020-05-01,48.2
2020-06-01,141.3
2020-07-01,209.3
2020-08-01,193.8
2020-09-01,190.6
2020-10-01,182.2
2020-11-01,180.2
2020-12-01,172.5
2021-01-01,180.9
2021-02-01,145.0
2021-03-01,125.8
2021-04-01,133.2
2021-05-01,129.9
2021-06-01,123.8
2021-07-01,135.7
2021-08-01,121.2
2021-09-01,84.1
2021-10-01,124.2
2021-11-01,132.7
2021-12-01,140.2
2022-01-01,131.4
2022-02-01,128.8
2022-03-01,136.6
2022-04-01,142.1
2022-05-01,139.5
2022-06-01,143.2
2022-07-01,140.7
2022-08-01,154.0
2022-09-01,152.3
2022-10-01,149.0
2022-11-01,141.0
2022-12-01,135.0
2023-01-01,141.9
2023-02-01,147.5
2023-03-01,152.8
2023-04-01,165.8
2023-05-01,154.4
2023-06-01,149.1
