DATE,AMVPNO
2015-02-01,50337
2015-03-01,53915
2015-04-01,53288
2015-05-01,53602
2015-06-01,53789
2015-07-01,55201
2015-08-01,54314
2015-09-01,54613
2015-10-01,53996
2015-11-01,54606
2015-12-01,53636
2016-01-01,53947
2016-02-01,54886
2016-03-01,53157
2016-04-01,54230
2016-05-01,52832
2016-06-01,52902
2016-07-01,52829
2016-08-01,53496
2016-09-01,53820
2016-10-01,52541
2016-11-01,52538
2016-12-01,53548
2017-01-01,54163
2017-02-01,53016
2017-03-01,52386
2017-04-01,52461
2017-05-01,54128
2017-06-01,53149
2017-07-01,51117
2017-08-01,52724
2017-09-01,52728
2017-10-01,53511
2017-11-01,53933
2017-12-01,53058
2018-01-01,53829
2018-02-01,54916
2018-03-01,54522
2018-04-01,56907
2018-05-01,53489
2018-06-01,55063
2018-07-01,56117
2018-08-01,56094
2018-09-01,56962
2018-10-01,57143
2018-11-01,56784
2018-12-01,56550
2019-01-01,56417
2019-02-01,56421
2019-03-01,56024
2019-04-01,55219
2019-05-01,55387
2019-06-01,56308
2019-07-01,54797
2019-08-01,54981
2019-09-01,53571
2019-10-01,52050
2019-11-01,52161
2019-12-01,51335
2020-01-01,51736
2020-02-01,53931
2020-03-01,41925
2020-04-01,18888
2020-05-01,24683
2020-06-01,47899
2020-07-01,56892
2020-08-01,55365
2020-09-01,55936
2020-10-01,54341
2020-11-01,55224
2020-12-01,55221
2021-01-01,55818
2021-02-01,52197
2021-03-01,52475
2021-04-01,49451
2021-05-01,50948
2021-06-01,50643
2021-07-01,54090
2021-08-01,52833
2021-09-01,50240
2021-10-01,53742
2021-11-01,54452
2021-12-01,54927
2022-01-01,54873
2022-02-01,55512
2022-03-01,57890
2022-04-01,58882
2022-05-01,59284
2022-06-01,59252
2022-07-01,59033
2022-08-01,59554
2022-09-01,60604
2022-10-01,60750
2022-11-01,60977
2022-12-01,61080
2023-01-01,61465
2023-02-01,61461
2023-03-01,61349
2023-04-01,61244
2023-05-01,62777.0
2023-06-01,62879.0
