DATE,WPS1411
2015-01-01,150.0
2015-02-01,151.4
2015-03-01,151.9
2015-04-01,151.9
2015-05-01,152.3
2015-06-01,152.5
2015-07-01,153.3
2015-08-01,152.8
2015-09-01,153.2
2015-10-01,152.6
2015-11-01,152.5
2015-12-01,152.4
2016-01-01,152.4
2016-02-01,152.4
2016-03-01,152.8
2016-04-01,153.0
2016-05-01,153.6
2016-06-01,154.2
2016-07-01,153.5
2016-08-01,153.2
2016-09-01,153.3
2016-10-01,154.5
2016-11-01,154.3
2016-12-01,155.3
2017-01-01,155.3
2017-02-01,155.0
2017-03-01,156.1
2017-04-01,156.4
2017-05-01,155.3
2017-06-01,155.5
2017-07-01,155.0
2017-08-01,155.1
2017-09-01,155.1
2017-10-01,155.4
2017-11-01,156.3
2017-12-01,156.2
2018-01-01,156.2
2018-02-01,156.0
2018-03-01,156.6
2018-04-01,156.3
2018-05-01,156.4
2018-06-01,156.9
2018-07-01,156.9
2018-08-01,157.3
2018-09-01,157.5
2018-10-01,157.6
2018-11-01,157.7
2018-12-01,157.4
2019-01-01,158.0
2019-02-01,157.8
2019-03-01,157.6
2019-04-01,157.4
2019-05-01,157.3
2019-06-01,157.3
2019-07-01,157.4
2019-08-01,157.1
2019-09-01,156.9
2019-10-01,157.2
2019-11-01,157.8
2019-12-01,157.2
2020-01-01,156.3
2020-02-01,157.1
2020-03-01,156.2
2020-04-01,157.1
2020-05-01,156.6
2020-06-01,156.3
2020-07-01,156.7
2020-08-01,157.2
2020-09-01,157.4
2020-10-01,157.2
2020-11-01,158.0
2020-12-01,158.3
2021-01-01,159.3
2021-02-01,159.2
2021-03-01,159.6
2021-04-01,159.7
2021-05-01,160.7
2021-06-01,161.5
2021-07-01,162.062
2021-08-01,162.686
2021-09-01,163.008
2021-10-01,162.083
2021-11-01,162.558
2021-12-01,162.403
2022-01-01,163.266
2022-02-01,164.162
2022-03-01,164.837
2022-04-01,165.941
2022-05-01,166.831
2022-06-01,167.462
2022-07-01,168.150
2022-08-01,168.611
2022-09-01,169.181
2022-10-01,169.020
2022-11-01,169.495
2022-12-01,169.981
2023-01-01,170.912
2023-02-01,170.983
2023-03-01,171.590
2023-04-01,170.884
2023-05-01,170.986
2023-06-01,170.751
