observation_date,"Total Vehicle Sales, Millions of Units, Monthly, Seasonally Adjusted Annual Rate"
Jan-20,17.314
Feb-20,17.061
Mar-20,11.68
Apr-20,8.923
May-20,12.328
Jun-20,13.271
Jul-20,15.075
Aug-20,15.704
Sep-20,16.692
Oct-20,17.084
Nov-20,16.492
Dec-20,16.927
Jan-21,17.327
Feb-21,16.106
Mar-21,18.223
Apr-21,18.655
May-21,17.177
Jun-21,15.757
Jul-21,15.067
Aug-21,13.486
Sep-21,12.731
Oct-21,13.662
Nov-21,13.542
Dec-21,13.172
Jan-22,15.55
Feb-22,14.166
Mar-22,14.007
Apr-22,14.739
May-22,13.043
Jun-22,13.52
Jul-22,13.805
Aug-22,13.738
Sep-22,14.113
Oct-22,15.773
Nov-22,14.851
Dec-22,13.875
