observation_date,Total Sales in Dollars (Millions)
Jan-20,8815
Feb-20,10355
Mar-20,9007
Apr-20,6158
May-20,10106
Jun-20,11266
Jul-20,11666
Aug-20,11453
Sep-20,10391
Oct-20,10285
Nov-20,9356
Dec-20,8987
Jan-21,9867
Feb-21,10560
Mar-21,16701
Apr-21,15845
May-21,14589
Jun-21,14554
Jul-21,13951
Aug-21,14475
Sep-21,14422
Oct-21,14662
Nov-21,13384
Dec-21,12981
Jan-22,12597
Feb-22,13229
Mar-22,16364
Apr-22,15128
May-22,14599
Jun-22,14657
Jul-22,14095
Aug-22,15168
Sep-22,13601
Oct-22,13173
Nov-22,11973
Dec-22,11219
